id,date,temperatur,schneehoehe,schneetage
3730,1968-01-01,-0.254696133,25.16574586,124
3730,1969-01-01,-1.577348066,43.28729282,157
3730,1970-01-01,-0.572375691,18.0718232,131
3730,1971-01-01,1.464285714,2.967032967,70
3730,1972-01-01,-0.871270718,27.96685083,128
3730,1973-01-01,1.465745856,24.82320442,125
3730,1974-01-01,1.471270718,14.19889503,137
3730,1975-01-01,0.163736264,11.82417582,124
3730,1976-01-01,0.757458564,27.9558011,128
3730,1977-01-01,0.440331492,30.14364641,148
3730,1978-01-01,0.209392265,11.41436464,118
3730,1979-01-01,0.480769231,22.03296703,153
3730,1980-01-01,-0.297237569,57.14364641,141
3730,1981-01-01,0.020441989,51.1160221,156
3730,1982-01-01,1.436464088,13.8839779,114
3730,1983-01-01,-0.575824176,30.53846154,144
3730,1984-01-01,-0.137569061,8.607734807,109
3730,1985-01-01,-0.692265193,28.97790055,137
3730,1986-01-01,-0.298895028,39.77348066,120
3730,1987-01-01,1.386813187,26.1043956,116
3730,1988-01-01,1.90718232,6.480662983,100
3730,1989-01-01,1.725966851,2.480662983,73
3730,1990-01-01,0.372928177,8.342541436,116
3730,1991-01-01,0.432967033,14.23626374,129
3730,1992-01-01,1.336464088,12.09392265,118
3730,1993-01-01,1.781767956,8.729281768,123
3730,1994-01-01,1.372928177,15.25966851,116
3730,1995-01-01,-0.93021978,13.92307692,146
3730,1996-01-01,0.497237569,13.54696133,126
3730,1997-01-01,1.525414365,5.38121547,80
3730,1998-01-01,-0.349723757,43.19889503,157
3730,1999-01-01,0.204945055,27.01098901,141
3730,2000-01-01,1.925414365,7.29281768,91
3730,2001-01-01,0.353038674,9.149171271,103
3730,2002-01-01,0.840331492,16.91160221,93
3730,2003-01-01,0.724175824,20.78021978,115
3730,2004-01-01,-0.327624309,30.61325967,112
3730,2005-01-01,-1.460220994,29.71823204,145
3730,2006-01-01,3.279558011,2.79558011,62
3730,2007-01-01,0.422527473,8.335164835,107
3730,2008-01-01,-0.076243094,26.40883978,138
3730,2009-01-01,0.666298343,11.05524862,108
3730,2010-01-01,1.240331492,8.464088398,91
3730,2011-01-01,0.782417582,26.33516484,109
3730,2012-01-01,0.476243094,15.72928177,122
3730,2013-01-01,2.271270718,3.375690608,60
3730,2014-01-01,1.808839779,11.48066298,85
4125,1961-01-01,1.524861878,6.480662983,85
4125,1962-01-01,-1.348618785,27.45856354,121
4125,1963-01-01,0.922527473,6.615384615,98
4125,1964-01-01,1.500552486,17.51933702,106
4125,1965-01-01,3.135359116,4.364640884,75
4125,1966-01-01,2.502762431,6.430939227,92
4125,1967-01-01,2.602747253,10.48351648,89
4125,1968-01-01,1.497237569,7.17679558,80
4125,1969-01-01,0.714364641,21.43093923,127
4125,1970-01-01,1.723756906,9.359116022,88
4125,1971-01-01,3.035164835,1.258241758,36
4125,1972-01-01,0.827624309,7.436464088,107
4125,1973-01-01,3.423756906,6.287292818,63
4125,1974-01-01,3.665745856,1.988950276,46
4125,1975-01-01,2.052197802,1.774725275,66
4125,1976-01-01,2.769060773,12.47513812,93
4125,1977-01-01,2.367955801,9,95
4125,1978-01-01,1.686187845,5.569060773,80
4125,1979-01-01,2.465934066,5.82967033,66
4125,1980-01-01,2.008839779,20.47513812,111
4125,1981-01-01,1.345856354,14.59116022,114
4125,1982-01-01,3.719889503,2.712707182,54
4125,1983-01-01,1.237912088,9.313186813,103
4125,1984-01-01,0.839226519,6.165745856,78
4125,1985-01-01,1.577348066,8.138121547,101
4125,1986-01-01,1.266298343,10.74033149,100
4125,1987-01-01,.,.,.
4125,1988-01-01,3.678453039,2.386740331,36
4125,1989-01-01,3.574585635,0.44198895,16
4125,1990-01-01,2.150828729,5.607734807,60
4125,1991-01-01,2.486813187,4.346153846,78
4125,1992-01-01,3.234254144,5.149171271,67
4125,1993-01-01,3.763535912,2.546961326,66
4125,1994-01-01,4.07679558,6.889502762,70
4125,1995-01-01,0.808791209,7.978021978,128
4125,1996-01-01,.,.,.
4125,1997-01-01,5.172928177,1.392265193,39
4125,1998-01-01,3.592265193,7.254143646,63
