key,name,hoehe,trendEnde
4125,Bad Reichenhall,470,2005-01-01
1550,Garmisch-Partenkirchen,719,2014-01-01
3307,Mittenwald,981,2014-01-01
3730,Oberstdorf,806,2014-01-01
5941,Reit im Winkl,685,2002-01-01
5467,Wendelstein,1832,2010-01-01
5792,Zugspitze,2964,2014-01-01
